date,update_mae,mae,last_week_mae,n_samples,mae_vs_exchange
2026-04-02,14.54,13.8,21.12,4647,11.31
2026-04-03,25.06,13.8,21.12,4743,20.62
2026-04-04,36.15,13.8,21.12,4839,23.16
2026-04-05,36.12,13.8,21.12,4935,38.51
2026-04-06,39.08,13.8,21.12,5031,29.46
2026-04-07,21.72,13.8,21.12,5127,21.34
2026-04-09,15.34,13.8,21.12,5319,16.09
2026-04-10,27.1,13.8,21.12,5415,38.41
2026-04-11,26.99,13.8,21.12,5511,28.23
2026-04-12,26.58,13.8,21.12,5607,34.25
2026-04-13,21.56,13.8,21.12,5703,17.67
2026-04-14,18.02,23.56,21.27,5799,19.54
2026-04-15,16.32,23.13,18.77,5895,11.29
2026-04-16,13.97,19.24,16.5,5991,19.15
2026-04-17,9.18,16.4,11.89,6087,15.83
2026-04-18,11.89,14.13,11.3,6183,17.59
2026-04-19,12.04,13.72,13.21,6279,11.68
2026-04-20,11.11,11.81,12.81,6375,7.15
2026-04-21,15.81,12.16,14.78,6471,12.65
2026-04-23,19.44,15.24,21.19,6663,31.29
2026-04-24,12.08,15.14,18.68,6759,22.11
2026-04-25,41.68,21.2,30.22,6855,48.15
2026-04-26,69.05,31.35,61.81,6951,36.89
2026-04-27,27.79,33.84,54.03,7047,36.15
2026-04-28,28.96,35.58,30.73,7143,10.06
