date,arf_mae,lgbm_mae,min_realized,delta,pct_improvement
2026-04-14,18.02,7.52,91.66,-10.50,58.28
2026-04-15,16.32,6.86,42.40,-9.46,57.97
2026-04-16,13.97,5.79,40.00,-8.18,58.53
2026-04-17,9.18,7.15,38.91,-2.03,22.09
2026-04-18,11.89,5.59,32.10,-6.30,52.96
2026-04-19,12.04,6.00,-3.00,-6.04,50.17
2026-04-20,11.11,6.03,36.86,-5.08,45.77
2026-04-21,15.81,7.37,-8.12,-8.44,53.38
2026-04-23,19.44,10.64,-49.37,-8.80,45.26
2026-04-24,12.08,7.18,-29.94,-4.90,40.55
2026-04-25,41.68,33.12,-190.34,-8.56,20.53
2026-04-26,69.05,60.72,-413.34,-8.33,12.07
2026-04-27,27.79,12.25,-0.83,-15.54,55.91
2026-04-28,28.96,8.67,-48.00,-20.29,70.05
